id,group,answer,auto_passed,llm_answer_passed,generation_path,model_selected_evidence_ids,keyword_recall,claim_citation_coverage,claim_evidence_match_rate,citations,human_groundedness_0_or_1,human_answer_correct_0_or_1,human_citation_useful_0_or_1,reviewer_notes
full_011,cross_equipment,"## 结论与依据

- 汽蚀可能表现为宽带噪声、振动升高、流量或压力波动，并可能伴随类似砂石通过的异常声音 [pump_gearbox_faults#pump_gearbox_faults_c001]
- 怀疑泵汽蚀时，应核对入口条件、阀门状态、流量压力变化和运行声音，并排查叶轮、不对中和基础松动等替代原因 [pump_gearbox_faults#pump_gearbox_faults_c002]
- 仍需结合入口压力、流量、工况和泵的专用检测信息，不能仅凭轴承分类模型判断 [pump_gearbox_faults#pump_gearbox_faults_c001]
- 泵类设备常见问题包括汽蚀（也常写作气蚀）、轴承磨损、不对中、叶轮不平衡和基础松动 [pump_gearbox_faults#pump_gearbox_faults_c001]

## 已知边界

以上内容来自本次检索证据，不能替代现场检查和人工复核。
",True,True,first_pass,E03;E01;E04;E11,1.0,1.0,1.0,pump_gearbox_faults#pump_gearbox_faults_c001;pump_gearbox_faults#pump_gearbox_faults_c002;pump_gearbox_faults#pump_gearbox_faults_c001;pump_gearbox_faults#pump_gearbox_faults_c001,,,,
full_012,cross_equipment,"## 结论与依据

- 齿轮箱故障常涉及齿轮啮合频率、边频带、齿面磨损、断齿和轴承问题 [pump_gearbox_faults#pump_gearbox_faults_c001]
- 齿轮故障诊断需要齿数、转速和传动级信息，否则很难准确解释啮合频率 [pump_gearbox_faults#pump_gearbox_faults_c001]
- 怀疑齿面磨损时，应结合啮合频率及边频带、润滑油磨粒、齿轮参数和拆检信息复核 [pump_gearbox_faults#pump_gearbox_faults_c002]
- 当当前工具只有轴承 CNN 时，系统可以提示泵或齿轮箱可能需要专用工具，不应把所有异常都归因于轴承故障 [pump_gearbox_faults#pump_gearbox_faults_c003]

## 已知边界

以上内容来自本次检索证据，不能替代现场检查和人工复核。
",True,True,first_pass,E01;E02;E03;E04,1.0,1.0,1.0,pump_gearbox_faults#pump_gearbox_faults_c001;pump_gearbox_faults#pump_gearbox_faults_c001;pump_gearbox_faults#pump_gearbox_faults_c002;pump_gearbox_faults#pump_gearbox_faults_c003,,,,
full_013,cross_equipment,"## 结论与依据

- 不平衡通常与转频成分增强有关，不对中可能出现转频及倍频成分，轴承故障则可能出现冲击和包络谱特征 [motor_faults#motor_faults_c001]
- 电机常见故障包括转子不平衡、不对中、轴承损伤、定转子摩擦、绕组绝缘异常和冷却不良 [motor_faults#motor_faults_c001]
- 泵类设备常见问题包括汽蚀（也常写作气蚀）、轴承磨损、不对中、叶轮不平衡和基础松动 [pump_gearbox_faults#pump_gearbox_faults_c001]
- 仍需结合入口压力、流量、工况和泵的专用检测信息，不能仅凭轴承分类模型判断 [pump_gearbox_faults#pump_gearbox_faults_c001]

## 已知边界

以上内容来自本次检索证据，不能替代现场检查和人工复核。
",True,True,first_pass,E01;E02;E03;E14,1.0,1.0,1.0,motor_faults#motor_faults_c001;motor_faults#motor_faults_c001;pump_gearbox_faults#pump_gearbox_faults_c001;pump_gearbox_faults#pump_gearbox_faults_c001,,,,
full_014,cross_equipment,"## 结论与依据

- 管道泄漏可能引起声发射、压力波动、局部振动和流量异常 [pipeline_leakage_notes#pipeline_leakage_notes_c001]
- 泄漏孔径、压力、介质、管壁材料和环境噪声都会影响信号特征 [pipeline_leakage_notes#pipeline_leakage_notes_c001]
- 声发射方法对高频泄漏噪声敏感，但也容易受阀门动作、机械冲击和外界噪声影响 [pipeline_leakage_notes#pipeline_leakage_notes_c001]
- 对于高风险介质，应优先按安全流程隔离和复核，而不是只依赖单一算法判断 [pipeline_leakage_notes#pipeline_leakage_notes_c003]

## 已知边界

以上内容来自本次检索证据，不能替代现场检查和人工复核。
",True,True,first_pass,E03;E05;E12;E06,1.0,1.0,1.0,pipeline_leakage_notes#pipeline_leakage_notes_c001;pipeline_leakage_notes#pipeline_leakage_notes_c001;pipeline_leakage_notes#pipeline_leakage_notes_c001;pipeline_leakage_notes#pipeline_leakage_notes_c003,,,,
full_015,cross_equipment,"## 结论与依据

- 早期监测通常需要结合单体温度、温升速率、模组内温差、单体电压一致性、电压异常下降、电流、绝缘状态和 BMS 告警，而不是只看一个温度值 [battery_thermal_monitoring#battery_thermal_monitoring_c001]
- 温度变化、电压异常和气体信号之间的时间关系，比单一阈值更有助于识别风险，但具体阈值必须来自车型、企业规程或经验证的电池系统资料 [battery_thermal_monitoring#battery_thermal_monitoring_c002]
- 动力电池热风险不能由轴承振动 CNN 判断 [battery_thermal_monitoring#battery_thermal_monitoring_c001]
- 当前知识库不包含特定车型、电芯体系和企业处置阈值，因此不能据此给出可直接执行的热失控判定值，也不能远程控制电池系统 [battery_thermal_monitoring#battery_thermal_monitoring_c003]

## 已知边界

以上内容来自本次检索证据，不能替代现场检查和人工复核。
",True,True,first_pass,E01;E03;E02;E05,1.0,1.0,1.0,battery_thermal_monitoring#battery_thermal_monitoring_c001;battery_thermal_monitoring#battery_thermal_monitoring_c002;battery_thermal_monitoring#battery_thermal_monitoring_c001;battery_thermal_monitoring#battery_thermal_monitoring_c003,,,,
full_016,evidence_boundary,"## 结论与依据

- 没有采集到原始振动信号时，系统不能执行轴承诊断工具，也不能给出故障类别、类别概率或精确剩余寿命 [no_signal_diagnosis_boundary#no_signal_diagnosis_boundary_c001]
- 此时只能依据用户明确提供的现象，给出知识层面的排查方向和需要补充的数据 [no_signal_diagnosis_boundary#no_signal_diagnosis_boundary_c001]
- 资料不足时只能给出排查方向，不能编造温升原因、故障等级或停机阈值 [equipment_temperature_checks#equipment_temperature_checks_c004]
- RAG 的作用是给出诊断边界和下一步数据需求 [pump_gearbox_faults#pump_gearbox_faults_c003]

## 已知边界

以上内容来自本次检索证据，不能替代现场检查和人工复核。
",False,False,first_pass,E03;E02;E06;E10,0.75,1.0,1.0,no_signal_diagnosis_boundary#no_signal_diagnosis_boundary_c001;no_signal_diagnosis_boundary#no_signal_diagnosis_boundary_c001;equipment_temperature_checks#equipment_temperature_checks_c004;pump_gearbox_faults#pump_gearbox_faults_c003,,,,
full_017,evidence_boundary,"## 结论与依据

- 泄漏孔径、压力、介质、管壁材料和环境噪声都会影响信号特征 [pipeline_leakage_notes#pipeline_leakage_notes_c001]
- 若置信度中等或现场症状不明显，建议复测多段信号，确认传感器安装和采样工况，再决定是否拆检 [maintenance_decision#maintenance_decision_c001]
- 建议先补采多段原始信号、核对传感器安装，并结合现场点检后再判断 [no_signal_diagnosis_boundary#no_signal_diagnosis_boundary_c003]
- 管道泄漏可能引起声发射、压力波动、局部振动和流量异常 [pipeline_leakage_notes#pipeline_leakage_notes_c001]

## 已知边界

以上内容来自本次检索证据，不能替代现场检查和人工复核。
",False,False,first_pass,E07;E01;E02;E10,0.75,1.0,1.0,pipeline_leakage_notes#pipeline_leakage_notes_c001;maintenance_decision#maintenance_decision_c001;no_signal_diagnosis_boundary#no_signal_diagnosis_boundary_c003;pipeline_leakage_notes#pipeline_leakage_notes_c001,,,,
full_018,evidence_boundary,"## 结论与依据

- 相比单次诊断，趋势数据能更可靠地区分偶发冲击和持续退化 [vibration_signal_features#vibration_signal_features_c003]
- 如果要判断故障发展程度，需要连续采样和趋势分析 [vibration_signal_features#vibration_signal_features_c003]
- 工程应用中建议记录采样时间、转速、负载、传感器位置和环境信息 [vibration_signal_features#vibration_signal_features_c003]
- 包络谱适合识别调制型冲击，尤其在轴承局部故障中常用 [vibration_signal_features#vibration_signal_features_c001]

## 已知边界

以上内容来自本次检索证据，不能替代现场检查和人工复核。
",True,True,first_pass,E01;E04;E11;E16,1.0,1.0,1.0,vibration_signal_features#vibration_signal_features_c003;vibration_signal_features#vibration_signal_features_c003;vibration_signal_features#vibration_signal_features_c003;vibration_signal_features#vibration_signal_features_c001,,,,
full_019,evidence_boundary,"## 结论与依据

- 在项目中，CWRU 数据集适合用于验证诊断工具链路：输入一段振动信号，模型输出故障类别、置信度和类别概率 [cwru_dataset_notes#cwru_dataset_notes_c001]
- CWRU 数据来自相对标准化的实验条件，真实设备中会有更多干扰，例如转速波动、负载变化、传感器安装差异、背景噪声、复合故障和设备结构差异 [cwru_dataset_notes#cwru_dataset_notes_c002]
- 若轻量 CNN 在 CWRU 测试集上达到高准确率，能说明该工具在这个数据集划分下有效，但不能直接等同于真实工业场景泛化能力 [cwru_dataset_notes#cwru_dataset_notes_c001]
- 若要迁移到真实设备，需要补充现场数据、跨工况测试、域适应、在线校准和长期趋势验证 [cwru_dataset_notes#cwru_dataset_notes_c002]

## 已知边界

以上内容来自本次检索证据，不能替代现场检查和人工复核。
",True,True,first_pass,E01;E04;E11;E12,1.0,1.0,1.0,cwru_dataset_notes#cwru_dataset_notes_c001;cwru_dataset_notes#cwru_dataset_notes_c002;cwru_dataset_notes#cwru_dataset_notes_c001;cwru_dataset_notes#cwru_dataset_notes_c002,,,,
full_020,evidence_boundary,"## 结论与依据

- 诊断报告中的故障机理、维修建议和风险提示应尽量附带来源 chunk [rag_safety_rules#rag_safety_rules_c003]
- 若模型诊断为外圈故障且置信度较高，建议先复核采样点、转速、负载和传感器安装状态，再进行现场检查 [bearing_outer_race_fault#bearing_outer_race_fault_c003]
- 模型可以根据振动信号给出故障类别和置信度，但是否停机、更换或继续运行，需要结合设备重要性、负载、温度、噪声、历史趋势和生产风险 [maintenance_decision#maintenance_decision_c001]
- 若资料库没有覆盖某个设备型号、标准条款、维修规程或历史记录，系统应明确说明“当前知识库未覆盖”，并建议补充资料，而不是编造 [rag_safety_rules#rag_safety_rules_c001]

## 已知边界

以上内容来自本次检索证据，不能替代现场检查和人工复核。
",False,False,first_pass,E01;E02;E04;E10,0.75,1.0,1.0,rag_safety_rules#rag_safety_rules_c003;bearing_outer_race_fault#bearing_outer_race_fault_c003;maintenance_decision#maintenance_decision_c001;rag_safety_rules#rag_safety_rules_c001,,,,
